Signal Legend:

Key        Signal Name

0        = rx
1        = RISC_V_Core:CORE|Reg_PC:PCREG|Q[31..0]
2        = UART_Full_Duplex:UART|Reg_Param:RXREG|Q[7..0]

Data Table:

Signals-> 0 1         2   

sample

-128      1 00000024h 00h 
-127      1 00000028h 00h 
-126      1 00000024h 00h 
-125      1 00000028h 00h 
-124      1 00000024h 00h 
-123      1 00000028h 00h 
-122      1 00000024h 00h 
-121      1 00000028h 00h 
-120      1 00000024h 00h 
-119      1 00000028h 00h 
-118      1 00000024h 00h 
-117      1 00000028h 00h 
-116      1 00000024h 00h 
-115      1 00000028h 00h 
-114      1 00000024h 00h 
-113      1 00000028h 00h 
-112      1 00000024h 00h 
-111      1 00000028h 00h 
-110      1 00000024h 00h 
-109      1 00000028h 00h 
-108      1 00000024h 00h 
-107      1 00000028h 00h 
-106      1 00000024h 00h 
-105      1 00000028h 00h 
-104      1 00000024h 00h 
-103      1 00000028h 00h 
-102      1 00000024h 00h 
-101      1 00000028h 00h 
-100      1 00000024h 00h 
-99       1 00000028h 00h 
-98       1 00000024h 00h 
-97       1 00000028h 00h 
-96       1 00000024h 00h 
-95       1 00000028h 00h 
-94       1 00000024h 00h 
-93       1 00000028h 00h 
-92       1 00000024h 00h 
-91       1 00000028h 00h 
-90       1 00000024h 00h 
-89       1 00000028h 00h 
-88       1 00000024h 00h 
-87       1 00000028h 00h 
-86       1 00000024h 00h 
-85       1 00000028h 00h 
-84       1 00000024h 00h 
-83       1 00000028h 00h 
-82       1 00000024h 00h 
-81       1 00000028h 00h 
-80       1 00000024h 00h 
-79       1 00000028h 00h 
-78       1 00000024h 00h 
-77       1 00000028h 00h 
-76       1 00000024h 00h 
-75       1 00000028h 00h 
-74       1 00000024h 00h 
-73       1 00000028h 00h 
-72       1 00000024h 00h 
-71       1 00000028h 00h 
-70       1 00000024h 00h 
-69       1 00000028h 00h 
-68       1 00000024h 00h 
-67       1 00000028h 00h 
-66       1 00000024h 00h 
-65       1 00000028h 00h 
-64       1 00000024h 00h 
-63       1 00000028h 00h 
